B,D,LB,g,phi,BC
0.152,0.15,5.95,16.5,39.5,254.5
0.152,0.075,5.95,16.8,41.5,285.3
0.152,0.15,5.95,16.8,41.5,342.5
0.152,0.075,5.95,17.1,42.5,335.3
0.152,0.15,5.95,17.1,42.5,400.6
0.094,0.047,1.0,15.7,34.0,67.7
0.094,0.094,1.0,15.7,34.0,90.5
0.094,0.047,1.0,16.1,37.0,98.8
0.094,0.094,1.0,16.1,37.0,131.5
0.094,0.047,1.0,16.5,39.5,147.8
0.094,0.094,1.0,16.5,39.5,191.6
0.094,0.047,1.0,16.8,41.5,196.8
0.094,0.094,1.0,16.8,41.5,253.6
0.094,0.047,1.0,17.1,42.5,228.8
0.094,0.094,1.0,17.1,42.5,295.6
0.152,0.075,1.0,15.7,34.0,91.2
0.152,0.15,1.0,15.7,34.0,124.4
0.152,0.075,1.0,16.1,37.0,135.2
0.152,0.15,1.0,16.1,37.0,182.4
0.152,0.075,1.0,16.5,39.5,201.2
0.152,0.15,1.0,16.5,39.5,264.5
0.152,0.075,1.0,16.8,41.5,276.3
0.152,0.15,1.0,16.8,41.5,361.5
0.152,0.075,1.0,17.1,42.5,325.3
0.152,0.15,1.0,17.1,42.5,423.6
0.08,0.0,1.0,17.2,42.8,133.0
0.15,0.0,1.0,17.2,42.8,246.0
0.05,0.0,1.0,17.2,42.8,109.0
0.08,0.0,1.0,17.1,42.8,130.0
0.1,0.0,1.0,17.1,42.8,152.0
0.15,0.0,1.0,17.1,42.8,214.0
0.2,0.0,1.0,17.1,42.8,266.0
0.25,0.0,1.0,17.1,42.8,333.0
0.3,0.0,1.0,17.1,42.8,404.0
0.03,0.0,1.0,15.89,42.0,52.0
0.04,0.0,1.0,15.89,42.0,92.0
0.05,0.0,1.0,15.89,42.0,95.0
0.06,0.0,1.0,13.2,32.0,14.0
0.06,0.0,1.0,14.8,42.0,72.0
0.06,0.0,1.0,15.4,42.0,106.0
1.0,0.0,1.0,19.5,38.75,377.0
1.0,0.0,1.0,19.5,38.75,368.0
1.0,0.0,1.0,19.5,38.75,335.0
1.0,0.0,1.0,19.5,38.75,305.0
1.0,0.0,1.0,19.5,38.75,400.0
1.0,0.0,1.0,19.5,38.75,296.0
1.0,0.0,1.0,19.5,38.75,390.0
1.0,0.0,1.0,19.5,38.75,435.0
0.71,0.0,1.0,19.5,38.75,438.4
1.0,0.0,1.0,16.8,40.55,773.0
1.0,0.0,1.0,16.8,40.55,685.0
1.0,0.0,1.0,16.8,40.55,560.0
1.0,0.0,1.0,16.8,40.55,500.0
1.0,0.0,1.0,16.8,40.55,598.0
1.0,0.0,1.0,16.8,40.55,584.0
1.0,0.0,1.0,16.8,40.55,716.0
1.0,0.0,1.0,16.8,40.55,825.0
1.0,0.0,1.0,16.8,40.55,922.0
1.0,0.0,1.0,16.8,40.55,659.0
1.0,0.0,1.0,16.8,40.55,640.0
1.0,0.0,1.0,16.8,40.55,626.0
1.0,0.0,1.0,16.8,40.55,726.0
1.0,0.0,1.0,16.8,40.55,927.0
0.7,0.0,1.0,16.8,40.55,612.25
0.75,0.0,1.0,20.8,44.95,856.9
0.75,0.0,1.0,20.8,44.95,1020.44
0.45,0.0,1.0,20.8,44.95,953.09
0.45,0.0,1.0,20.8,44.95,454.32
0.3,0.0,1.0,20.8,45.7,422.23
0.3,0.0,1.0,20.8,45.7,600.0
0.3,0.0,1.0,20.8,45.7,900.0
0.3,0.0,1.0,20.8,45.7,1688.89
0.91,0.0,1.0,14.6,31.95,324.84
0.61,0.0,1.0,14.6,31.95,94.06
0.61,0.0,1.0,14.6,31.95,196.18
0.61,0.0,1.0,14.6,31.95,322.49
0.46,0.0,1.0,14.6,31.95,259.92
0.61,0.0,1.0,19.0,37.0,257.99
0.8,0.0,1.0,17.1,39.75,348.44
0.63,0.0,1.0,17.1,39.75,365.33
0.46,0.0,1.0,17.1,39.75,103.97
0.31,0.0,1.0,15.8,37.9,478.67
1.2,0.0,1.0,20.4,41.0,1129.86
1.2,0.0,1.0,20.4,41.0,978.47
0.3,0.0,1.0,20.4,41.0,1277.78
0.3,0.0,1.0,20.4,41.0,522.22
0.3,0.0,1.0,20.4,41.0,811.11
0.3,0.0,1.0,20.4,41.0,333.33
0.3,0.0,1.0,20.4,41.0,233.33
0.76,0.0,1.0,16.2,40.8,744.46
0.31,0.0,1.0,16.2,40.8,260.15
0.31,0.0,1.0,16.2,40.8,468.26
1.0,0.71,1.0,15.5,35.3,1550.0
1.5,0.76,1.0,15.5,35.3,1355.56
2.5,0.76,1.0,15.5,35.3,1152.0
3.0,0.76,1.0,15.5,35.3,1144.44
3.0,0.89,1.0,15.5,35.3,1011.11
0.5,0.3,1.0,12.41,44.0,2266.0
0.5,0.0,1.0,11.77,37.0,123.0
0.0585,0.029,5.95,15.7,34.0,58.5
0.0585,0.058,5.95,15.7,34.0,70.91
0.0585,0.029,5.95,16.1,37.0,82.5
0.0585,0.058,5.95,16.1,37.0,98.93
0.0585,0.029,5.95,16.5,39.5,121.5
0.0585,0.058,5.95,16.5,39.5,142.9
0.0585,0.029,5.95,16.8,41.5,157.5
0.0585,0.058,5.95,16.8,41.5,184.9
0.0585,0.029,5.95,17.1,42.5,180.5
0.0585,0.058,5.95,17.1,42.5,211.0
0.094,0.047,6.0,15.7,34.0,74.7
0.5,0.55,4.0,12.0,40.0,1140.0
